,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
562,서울 5호선 스티커광고 on 스크린도어,인앤아웃컴퍼니,37.5703865,126.977053,서울특별시 종로구 세종로  1-68,서울특별시 종로구 세종대로  172 5호선 광화문역,90x30cm,.,06:00 - 24:00,,,,,,,.,"- 광화문역 외 16개 역사광화문, 김포공항, 왕십리 - 5만원/개투명 스티커 - 4만원/개제작비 - 2만원/개*기재된 내용 외의 기간 및 비용 협의 가능"
563,IFC몰 지하연결통로 파노라마로드,인앤아웃컴퍼니,37.5255723,126.9266142,서울 영등포구 여의도동 23,서울 영등포구 국제금융로 10 (여의도동),200 x 1.7m,.,07:00 - 24:00,,,,,,,-,"매체비 - 12,000만원/월제작비 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
565,강남 대원빌딩 랩핑,인앤아웃컴퍼니,37.5013657,127.0255201,서울 서초구 서초동 1305-3,서울 서초구 강남대로 437 (서초동),19 x 14,.,06:00 - 24:00,,,,,,,.,"1면 - 6,000만원/2주*기재된 내용 외의 기간 및 비용 협의 가능"
566,부산 해운대 임팩트웨이브 전광판,인앤아웃컴퍼니,35.1598862,129.161562,부산 해운대구 중동 1412-7,부산 해운대구 해운대해변로 277 (중동),39.0 x 8.0m,.,06:00 - 24:00,,,,,,,3712 x 784,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
567,강남대로 신논현역 충림빌딩벽면빌보드,인앤아웃컴퍼니,37.5041598,127.0251636,서울 강남구 역삼동 808-5,서울 강남구 강남대로 468 (역삼동),6.2 x 11.5 ,.,06:00 - 24:00,,,,,,,.,"매체비 : 3,000만원/월제작비 : 900만원/월계약기간 : 최소 3개월*기재된 내용 외의 기간 및 비용 협의 가능"
568,강남역 G-Light(미디어폴),인앤아웃컴퍼니,37.5029226,127.0255928,서울특별시 강남구 역삼동  809-13,서울특별시 강남구 강남대로  452 대연빌딩,1.5 x 5.34m x 2면(18기 36개면 동시표출),. ,06:00 - 24:00,,,,,,,384 x 1368,"1일 30초 70회 - 4,000만원*기재된 내용 외의 기간 및 비용 협의 가능"
569,강남대로 신사 성현빌딩 전광판,인앤아웃컴퍼니,37.513382,127.020863,서울 강남구 논현동 19-2,서울 강남구 강남대로 578 (논현동),13 x 8m,.,06:00 - 24:00,,,,,,,1248 x 768,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
570,"삼성역 Art Platpform, Canvas, Wrapping",인앤아웃컴퍼니,37.5089138,127.0633227,서울특별시 강남구 삼성동  172-66,서울특별시 강남구 테헤란로  538 삼성역,역사별 상이,.,05:00 - 25:00,,,,,,,역사별 상이,* 삼성역 Art 미디어 리모델링 중
571,강남역 GT대각빌딩&미진프라자 싱크 래핑,인앤아웃컴퍼니,37.497777,127.0286681,서울특별시 강남구 역삼동  825,서울특별시 강남구 강남대로  390 미진프라자,25.9 x 31 / 27.5 x 34.8,.,06:00 - 24:00,,,,,,,.,"제작비 - 9,000만원매체비 - 27,000만원/2주(전광판 5구좌 포함)*기재된 내용 외의 기간 및 비용 협의 가능"
572,강남역 GT 대각빌딩 래핑,인앤아웃컴퍼니,37.4972689,127.0273901,서울 서초구 서초동 1319-5,서울 서초구 서초대로78길 5 (서초동),25.9m x 31m(803㎡),.,06:00 - 24:00,,,,,,,.,"제작비 - 4,500만원매체비 - 12,000만원/2주*기재된 내용 외의 기간 및 비용 협의 가능"
573,여주 신세계 프리미엄 아울렛 브릿지 배너,인앤아웃컴퍼니,37.2458827,127.6122784,경기 여주시 상거동 460,경기 여주시 명품로 360 (상거동),"West관 브릿지 2x3.5x양면 / West관,East관 통행로 / East관 벽면 2.5x3.5 7x2 / ",.,10:30 - 21:00,,,,,,,"West관 브릿지 512x897 / West관,East관 통행로 1792x512 / East관 벽면 640x897",30초/1기당 80회/일 - 500만원/월(4기)*기재된 내용 외의 기간 및 비용 협의 가능
574,왕십리 비트플렉스 벽면&기둥,인앤아웃컴퍼니,37.5614086,127.0384812,서울 성동구 행당동 168-151,서울 성동구 왕십리광장로 17 (행당동),벽면 - 14x2 / 기둥 - 2x3.87,.,06:00 - 22:00,,,,,,,벽면 - 2304x288 / 기둥 - 768x1408,벽면 - 1일 20초 100회 - 300만원/월(멀티비전)기둥 - 1일 20초 100회 - 200만원/월(1기 4면)*기재된 내용 외의 기간 및 비용 협의 가능
575,강남역 몬테소리 래핑,인앤아웃컴퍼니,37.4982352,127.0268635,서울특별시 서초구 서초동  1318-8,서울특별시 서초구 강남대로  399 몬테소리,16.1m x 23.1m (371㎡),.,06:00 - 24:00,,,,,,,사양 : 윈도우필름,매체비+제작비 - 2억/2주(전광판 3구좌 포함)*기재된 내용 외의 기간 및 비용 협의 가능
576,대구 명덕역 디지털포스터,인앤아웃컴퍼니,35.8568886,128.5903582,대구 남구 대명동 2321-11,대구 남구 명덕로 186 (대명동),55인치 DID,.,07:00 - 23:00,,,,,,,1920 x 1080,1일 20초 120회 - 200만원/월*기재된 내용 외의 기간 및 비용 협의 가능
577,대구 청라언덕역 디지털포스터,인앤아웃컴퍼니,35.8641536,128.5823669,대구 중구 남산동 97-1,대구 중구 남산로 80 (남산동),55인치 DID,.,07:00 - 23:00,,,,,,,1920 x 1080,1일 20초 120회 - 200만원/월*기재된 내용 외의 기간 및 비용 협의 가능
578,대구 반월당역 환승통로 터널 전광판,인앤아웃컴퍼니,35.8655961,128.5934587,대구광역시 중구 덕산동  88,대구광역시 중구 달구벌대로  2100 반월당역,대동로 : 12x2.3m / 대서로1 : 20 x 2.3m / 대서로2 : 5 x 1.3m,.,07:00 - 23:00,,,,,,,대동로 : 5376 x 864 / 대서로1 : 7296 x 864 / 대서로2 : 3200 x 720,"대동로 : 1일 20초 120회 - 400만원/월대서로1,2 세트 : 1일 20초 120회          500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
579,대구 상인역 롯데백화점 연결통로 터널 전광판,인앤아웃컴퍼니,35.8191249,128.5384713,대구광역시 달서구 상인동  1336,대구 달서구 월배로 232 (상인동),15x2.3m,.,07:00 - 23:00,,,,,,,3456 x 864,1일 20초 120회 - 300만원/월*기재된 내용 외의 기간 및 비용 협의 가능
580,명동 신세계 스퀘어(신세계백화점 본관) LED,인앤아웃컴퍼니,37.5611291,126.9812001,서울특별시 중구 충무로1가  52-5,서울특별시 중구 소공로  63 신세계백화점건물,71.4x17.6m,.,06:00 - 24:00,,,,,,,8694x2142(4452x2142+1176x2142+3066x2142),"1일 30초 70회 - 12,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
581,을지로 정산빌딩 전광판,인앤아웃컴퍼니,37.5669052,126.9993025,서울 중구 을지로4가 125,서울 중구 을지로 191 (을지로4가),11.0 x 7.0m,.,06:00 - 24:00,전문상가,힙지로,시장,청계천,,,1056 x 672,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
582,용산 아이파크몰 Media wall,인앤아웃컴퍼니,37.5299849,126.96483,서울특별시 용산구 한강로3가  40-999,서울특별시 용산구 한강대로23길  55 용산역,① 11.0 x 2.0m ② 7.0 x 2.0m,.,06:00 - 24:00,,,,,,,① 5632 x 1024 ② 3840 x 1024,"· 1기 (① or ②)1일 20초 100회 - 400만원/월1일 30초 100회 - 600만원/월· 2기 (① + ②)1일 20초 100회 - 700만원/월1일 30초 100회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
583,김포공항 국내선 도착장 일반대합실 전광판,인앤아웃컴퍼니,37.5567762,126.8085128,서울 강서구 공항동 1373-5,서울 강서구 하늘길 112 (공항동),0.75x2.53*6기(10면) / 1.25x2.53m*2기(2면),.,05:00 - 23:00,,,,,,,540x1920,"1일 15초 150회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
584,김포공항 국내선 전광판 패키지,인앤아웃컴퍼니,37.5564558,126.8085217,서울특별시 강서구 공항동  1373-5,서울특별시 강서구 하늘길  177 국립항공박물관,"도착장-캐로셀, 일반대합실 이동통로 등 4개 / 출발장 - 랜드마크 등 3개 / 상세 첨부",.,06:00 - 24:00,,,,,,,상세 첨부,"도착장패키지/구좌 - 3,000만원/월출발장패키지/구좌 - 3,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
585,순만빌딩,광고플레이(주),37.5140804,126.9448572,서울 동작구 노량진동 151-11,서울 동작구 노량진로 169 (노량진동),14.52x7.3m,노량진역 지하철 입구와 버스정류장에서 노출,06:00 - 24:00,,,,,,,14.52x7.3m,1일 20초 100회 이상 500만원/월
586,노량진 순만빌딩 전광판,인앤아웃컴퍼니,37.5140804,126.9448572,서울 동작구 노량진동 151-11,서울 동작구 노량진로 169 (노량진동),12x8,.,06:00 - 24:00,,,,,,,1920x1080,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
587,지하철 성수역 출구안내 전광판,인앤아웃컴퍼니,37.5448169,127.0551171,서울특별시 성동구 성수동2가  276-5,서울특별시 성동구 아차산로  96-1 구두수선대,위치 별 상이,.,05:00 - 25:00,팝업스토어,카페거리,MZ,,,,"2번 출구 2560x1584, 3번 출구 2432x1584, 4번 출구 2048x1440","1일 15초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
588,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.523252,127.0391536,서울특별시 강남구 청담동  77,서울특별시 강남구 도산대로  402-2,위치 별 상이,.,06:00 - 24:00,도산대로,압구정,신사,청담,,,A면 624*832 B면 1080*1920 C면C-1면 384*768,"1일 30초 108회(도산대로) - 3,500만원/월1일 30초 108회(학동로) - 1,600만원/월전체 - 4,800만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
589,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5171646,127.0411035,서울특별시 강남구 논현동  279-67,서울특별시 강남구 학동로  339-2,위치 별 상이,.,06:00 - 24:00,학동로,압구정,명품거리,,,,A면 624*832 B면 1080*1920 C면C-1면 384*768 (6개 쉘터 23면),"1일 30초 108회(도산대로) - 3,500만원/월1일 30초 108회(학동로) - 1,600만원/월전체 - 4,800만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
590,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5644091,126.9774703,서울특별시 중구 태평로2가  43,서울특별시 중구 세종대로  92 한화금융센터 태평로,제작가이드 참조,.,06:00 - 24:00,시청,을지로,명동,,,,"A면 576*768,768*960 B면 1080*1920 C면C-1면 384*704",1일 30초 108회 - 3000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
591,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5610664,126.9865742,서울특별시 중구 충무로2가  111,서울특별시 중구 퇴계로  127-3 가로판매대182,제작가이드 참조,.,06:00 - 24:00,시청,을지로,명동,,,,"A면 576*768,768*960 B면 1080*1920 C면C-1면 384*704",1일 30초 108회 - 3000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
592,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5543175,126.9721065,서울특별시 용산구 동자동  43-205,서울특별시 용산구 한강대로  405 서울역(철도역),제작가이드 참조,.,06:00 - 24:00,시청,을지로,명동,,,,"A면 576*768,768*960 B면 1080*1920 C면C-1면 384*704",1일 30초 108회 - 3000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
597,부산 지하철 1-2호선 승강장 LED,인앤아웃컴퍼니,35.1568757,129.0598265,부산광역시 부산진구 부전동  156-28,부산광역시 부산진구 서전로10번길  28 오기빌딩,42인치,.,05:00 - 24:30,부산역,1호선,2호선,승강장,,,1920x1080,1일 20초 100회 - 450만원/월*기재된 내용 외의 기간 및 비용 협의 가능
598,부산 2호선 센텀시티역-사상역 디지털사이니지,인앤아웃컴퍼니,35.1689066,129.1315851,부산광역시 해운대구 우동  1524,부산광역시 해운대구 센텀남대로  76 부산지하철 센텀시티역,"센텀시티역 1.5 x 2.3 x 4면 x 3기, 사상역 1.5 x 2.3 x 4면 x 2기 / 1.5 x 2.3 x 1면 x 2기",.,06:00 - 24:00,센텀시티역,,,,,,제작가이드 별도문의,1일 20초 160회 - 400만원/월센텀시티역+사상역 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
599,부산 2호선 센텀시티역-사상역 디지털사이니지,인앤아웃컴퍼니,35.1624514,128.9846429,부산광역시 사상구 괘법동  572-21,부산광역시 사상구 광장로  19 우먼 라이브러리,"센텀시티역 1.5 x 2.3 x 4면 x 3기, 사상역 1.5 x 2.3 x 4면 x 2기 / 1.5 x 2.3 x 1면 x 2기",.,06:00 - 24:00,사상역,,,,,,제작가이드 별도문의,1일 20초 160회 - 300만원/월센텀시티역+사상역 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
600,대구 반월당역 디지털포스터,인앤아웃컴퍼니,35.8655355,128.5934266,대구광역시 중구 덕산동  107,대구 중구 달구벌대로 지하 2100 (덕산동),1호선 49인치 DID (10대) / 2호선 55인치 DID (24대),.,05:00 - 24:00,반월당역,디지털포스터,,,,,1080 x 1920,1호선 1일 20초 100~120회 - 120만원/월2호선 1일 20초 100~120회 - 200만원/월*기재된 내용 외의 기간 및 비용 협의 가능
601,대구 영남대역 디지털포스터,인앤아웃컴퍼니,35.8362773,128.7534151,경상북도 경산시 대동  214-3,경상북도 경산시 대동안길  7-3,49인치 DID (10대),.,05:00 - 24:00,영남대역,에스컬레이터,,,,,1080 x 1920,1일 20초 100~120회 - 80만원/월*기재된 내용 외의 기간 및 비용 협의 가능
602,부산 서면역 디지털 패키지,인앤아웃컴퍼니,35.1576566,129.0588669,부산광역시 부산진구 부전동  573-1,부산광역시 부산진구 중앙대로  730 서면역,제작가이드 참조,.,06:00 - 24:00,서면역,,,,,,제작가이드 참조,"멀티비전+디지털포스터+사각기둥 : 1일 20초 150회 - 900만원/월사각기둥 : 1일 20초 200회 - 800만원/월대형 와이드 : 1일 20초 200회 - 700만원/월사각기둥+대형 와이드 : 1일 20초 200회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
603,도산대로 백영빌딩 전광판,인앤아웃컴퍼니,37.5222797,127.0349155,서울 강남구 신사동 630-19,서울 강남구 도산대로 307 (신사동),40.0 x 9.0m,.,06:00 - 24:00,압구정,도산대로,,,,,3968 x 864 / (1536+512+1920) x 864,"1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
604,도산대로 엠포리아빌딩 전광판,인앤아웃컴퍼니,37.5203143,127.0311442,서울 강남구 논현동 61-3,서울 강남구 도산대로 220 (논현동),12.4m x 18.2m,.,06:00 - 24:00,강남,논현,,,,,1216 x 1792,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
605,천호 현대백화점사거리 옥상LED,인앤아웃컴퍼니,37.5393463,127.1233121,서울 강동구 천호동 456,서울 강동구 천호대로 997 (천호동),13m x 7.5m,.,07:00 - 23:00,천호,현대백화점,,,,,1280 x 730,1일 20초 130회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
606,울산 남구 번영사거리 전광판,인앤아웃컴퍼니,35.5375736,129.3268005,울산 남구 달동 590-13,울산 남구 삼산로 179 (달동),11m x 9m,.,06:00 - 24:00,울산,남구,번영사거리,,,,512 x 320,1일 20초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
607,울산 중구 학산사거리 전광판,인앤아웃컴퍼니,35.5564194,129.3251712,울산 중구 학산동 161-1,울산 중구 번영로 349 (학산동),14.5m x 8.2m,.,06:00 - 22:00,울산,중구,학산사거리,,,,704 x 384,1일 20초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
608,부산 벡스코 전광판,인앤아웃컴퍼니,35.1690975,129.1363115,부산 해운대구 우동 1500,부산 해운대구 APEC로 55 (우동),"8.5m x 2.5m, 17m x 2.8m",.,08:45 - 18:15,벡스코,행사,,,,,"2520 x 810, 3840 x 610",1일 20초 70회 - 500만원/월행사 기간만 100만원/3~4일*기재된 내용 외의 기간 및 비용 협의 가능
609,대구 범어골드클리닉빌딩 전광판,인앤아웃컴퍼니,35.8596202,128.6245489,대구 수성구 범어동 42-2,대구 수성구 달구벌대로 2395 (범어동),"17m x 9m, 5.5m x 9m",.,06:00 - 24:00,범어네거리,,,,,,"1608 x 768, 456 x 768",1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
610,나인원한남 선큰가든 전광판,인앤아웃컴퍼니,37.5364406,127.0034707,서울 용산구 한남동 829,"서울 용산구 한남대로 91 (한남동, 나인원 한남)","A광장 11.5m x 3.1m, 10m x 3.1m / B광장 15m x 4.6m, 8.5m x 4.6m",.,09:00 - 21:00,주상복합단지,,,,,,제작가이드 별도문의,"1일 30초 100회 - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
611,공항철도 서울역,인앤아웃컴퍼니,37.5491188,126.9704827,서울 용산구 동자동 43-205,서울 용산구 청파로 378 (동자동),1. 9.6 x 5.4m 2. 4.8 x 2.7m,.,05:00 - 25:00,,,,,,,1920 x 1080,"1. 1일 20초 100회 - 600만원/월2. 1일 20초 100회 - 400만원/월서울역 패키지 - 800만원/월공항철도 패키지 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
612,공항철도 홍대입구역,인앤아웃컴퍼니,37.5576699,126.9265699,서울 마포구 동교동 190-1,서울 마포구 양화로 지하 188 (동교동),"1. 14.4 x 2.7m 2. 24.0 x 2.7m 3. 19.2 x 2.7m 4. 14.4 x 2.7m 5,6. 16.8 x 2.36m x 2기",.,05:00 - 25:00,,,,,,,1. 5760 x 1080 2. 9600 x 1080 3. 7680 x 1080 4. 5760 x 1080,"1. 1일 20초 100회 - 600만원/월2. 1일 20초 100회 - 800만원/월3. 1일 20초 100회 - 700만원/월4. 1일 20초 100회 - 600만원/월5,6. 1일 20초 100회 - 1,500만원/월홍대입구 4기 패키지 - 2,000만원/월공항철도 패키지 - 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
613,공항철도 디지털미디어시티역,인앤아웃컴퍼니,37.5765296,126.8995645,서울특별시 마포구 상암동  1144,서울 마포구 성암로 지하 184 (상암동),1. 9.6 x 2.7m 2. 9.6 x 2.7m,.,05:00 - 25:00,,,,,,,3840 x 1080,"1. 1일 20초 100회 - 400만원/월2. 1일 20초 100회 - 400만원/월DMC 2기 패키지 - 600만원/월공항철도 패키지 - 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
614,공항철도 공덕역,인앤아웃컴퍼니,37.5439176,126.9511545,서울 마포구 도화동 25-13,서울 마포구 마포대로 지하 92 (도화동),1. 7.2 x 2.0m 2. 4.8 x 2.7m,.,05:00 - 25:00,,,,,,,1. 3840 x 1080 2. 1920 x 1080,"1. 1일 20초 100회 - 400만원/월2. 1일 20초 100회 - 400만원/월공덕역 패키지 - 600만원/월공항철도 패키지 - 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
615,공항철도 인천공항,인앤아웃컴퍼니,37.4583507,126.4276993,인천 중구 운서동 2840,인천 중구 공항로 272 (운서동),4.2 x 2.4m,.,06:00 - 24:00,,,,,,,1920 x 1080,"1일 20초 100회 - 300만원/월공항철도 패키지 - 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
616,공항철도 검암역,인앤아웃컴퍼니,37.5690305,126.673542,인천 서구 검암동 414-204,인천 서구 검바위로 26 (검암동),4.8 x 2.7m,.,05:00 - 25:00,,,,,,,1920 x 1080,"1일 20초 100회 - 300만원/월공항철도 패키지 - 6,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
617,청담 블루펄호텔 전광판,인앤아웃컴퍼니,37.5256491,127.0539461,서울 강남구 청담동 129-3,서울 강남구 도산대로 549 (청담동),10.95x19.5m,.,06:00 - 24:00,명품거리,,,,,,1056x1920,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
618,도산대로 SGF청담타워 전광판,인앤아웃컴퍼니,37.523145,127.0376251,서울 강남구 신사동 652-16,서울 강남구 도산대로 327 (신사동),11.4 x 19.6m,.,06:00 - 24:00,명품,도산대로,,,,,1104 x 1920,"1일 15초 100회 - 1,000만원/월1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
619,종각 DGB빌딩 전광판,인앤아웃컴퍼니,37.568377,126.9823089,서울 중구 다동 85,서울 중구 남대문로 125 (다동),12.5 x 17.6m,.,06:00 - 24:00,청계천,광화문광장,,,,,1152 x 1888,"1일 15초 100회 - 1,000만원/월1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
620,명동 K파이낸스 디지털사이니지,인앤아웃컴퍼니,37.5624933,126.9810557,서울 중구 남대문로2가 111-1,서울 중구 남대문로 55 (남대문로2가),11.5 x 18.7m,.,06:00 - 24:00,관광,쇼핑타운,,,,,1120 x 1824,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
621,제주공항 디지털OOH 국내선 출발장,인앤아웃컴퍼니,33.5066815,126.4946566,제주특별자치도 제주시 용담이동  2002-10,제주특별자치도 제주시 공항로  2 제주국제공항,"동측기둥 1.8x2.3m / 중앙기둥 1.8x2.8m, 3.5x2.8m(확장면) 총 9기(33면)",.,06:00 - 22:00,제주,제주공항,국내최대관광,제주도,국내면세점,,제작가이드 별도문의,"1일 15초 150회 - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
622,제주공항 디지털OOH 국내국제선 경계,인앤아웃컴퍼니,33.507133,126.4966891,제주특별자치도 제주시 용담이동  2002,제주특별자치도 제주시 공항로  2 제주국제공항,12.0x4.0m,.,06:00 - 22:00,제주,제주공항,국내최대관광,제주도,국내면세점,,제작가이드 별도문의,"1일 15초 150회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
623,제주공항 디지털OOH 패키지,인앤아웃컴퍼니,33.5076851,126.4975789,제주특별자치도 제주시 용담이동  833,제주특별자치도 제주시 서해안로  410,"도착장 : 캐로셀 2.3x1.3mx5기(10면) / 기둥 1.5x2.8mx5기(15면), 3.0x2.8m(확장면) /// 국내국제선 경계 : 12.0x4.0m /// 출발장 : 동측기둥 1.8x2.3m / 중앙기둥 1.8x2.8m",.,06:00 - 22:00,제주,제주공항,국내최대관광,제주도,국내면세,,제작가이드 별도문의,"1일 15초 150회 - 5,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
624,동대문 HELLO APM 전광판,인앤아웃컴퍼니,37.5674846,127.0081041,서울 중구 을지로6가 18-35,서울 중구 장충단로 253 (을지로6가),13.0 x 17.2m,.,06:00 - 24:00,DDP,쇼핑몰,,,,,1280 x 1690,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
625,이태원 178 건물외벽,인앤아웃컴퍼니,37.5342714,126.9937537,서울 용산구 이태원동 128-1,서울 용산구 이태원로 178 (이태원동),"13.2x5.8m, 9.0x5.8m",.,00:00 - 24:00,관광,2030,,,,,-,"2면 - 7,000만원/2주제작비 - 1,500만원*기재된 내용 외의 기간 및 비용 협의 가능"
626,한남 고뫄스빌딩 조명 플렉스,인앤아웃컴퍼니,37.5308537,127.0090537,서울특별시 용산구 한남동  126-3,서울특별시 용산구 한남대로11길  12 고뫄스빌딩,15.8x7.5m,.,00:00 - 24:00,한남대교,프리미엄주거,,,,,-,"1면 - 6,000만원/2주1면 - 1억 2,000만원/월제작비 - 980만원*기재된 내용 외의 기간 및 비용 협의 가능"
627,신사동 휴먼타워 H-스테이션 전광판,인앤아웃컴퍼니,37.5157646,127.0192069,서울 서초구 잠원동 20-9,서울 서초구 강남대로 605 (잠원동),10.8 x 19.6m,.,06:00 - 24:00,도산대로,강남대로,신사역,,,,1320 x 2400,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
628,강남대로 신논현 DSG빌딩 전광판,인앤아웃컴퍼니,37.5047459,127.0238899,서울특별시 서초구 반포동  748-12,서울특별시 서초구 강남대로  475,12.6 x 17.4m,.,06:00 - 24:00,신논현역,교보타워사리,,,,,1248 x 1728,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
629,광주 KTX 송정역 전광판,인앤아웃컴퍼니,35.1371915,126.7916604,광주 광산구 송정동 1464,광주 광산구 상무대로 202 (송정동),(8.0x7.5)m+(16.0x7.5)m,.,06:00 - 24:00,KTX,기차역,상무대로,,,,제작가이드 별도문의,1일 20초 150회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
630,광주 한국방송통신전파진흥원빌딩 전광판,인앤아웃컴퍼니,35.1520334,126.8544422,광주 서구 치평동 1241-3,광주 서구 운천로 219 (치평동),13.0 x 7.0m,.,06:00 - 24:00,상무병원,운천,,,,,제작가이드 별도문의,1일 20초 150회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
631,광주 국립아시아문화전당 안산빌딩 전광판,인앤아웃컴퍼니,35.1463713,126.9182056,광주 동구 광산동 78-1,광주 동구 서석로 42 (광산동),15.3 x 9.9m,.,06:00 - 24:00,문화전당,박물관,동구청,,,,제작가이드 별도문의,1일 20초 150회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
632,춘천 중앙로터리 강원일보 전광판,인앤아웃컴퍼니,37.8808629,127.7283036,강원특별자치도 춘천시 중앙로1가 80,강원특별자치도 춘천시 중앙로 45 (중앙로1가),11.0 x 7.0m,.,06:00 - 24:00,춘천명동,춘천시청,,,,,제작가이드 별도문의,1일 20초 100회 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
633,지하철 수도권 1호선 전동차내 LCD영상,인앤아웃컴퍼니,37.4840369,126.7826496,경기 부천시 소사구 심곡본동 316-2,경기 부천시 소사구 부천로 1 (심곡본동),25인치,.,06:00 - 24:00,1호선,전동차,,,,,1280 x 720,"1일 30초 13만회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
634,지하철 수도권 1호선 전동차내 LCD영상,인앤아웃컴퍼니,37.2656811,127.0000779,경기도 수원시 팔달구 매산로1가  18,경기도 수원시 팔달구 덕영대로  924 AK플라자,25인치,.,06:00 - 24:00,1호선,전동차,,,,,1280 x 720,"1일 30초 13만회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
635,지하철 수도권 1호선 전동차내 LCD영상,인앤아웃컴퍼니,37.7384146,127.0460371,경기도 의정부시 의정부동  168-54,경기도 의정부시 평화로  525 의정부민자역사,25인치,.,06:00 - 24:00,1호선,전동차,,,,,1280 x 720,"1일 30초 13만회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
636,지하철 수도권 1호선 전동차내 LCD영상,인앤아웃컴퍼니,36.8108222,127.1465515,충청남도 천안시 동남구 대흥동  57-1,충청남도 천안시 동남구 대흥로  239 천안역,25인치,.,06:00 - 24:00,1호선,전동차,,,,,1280 x 720,"1일 30초 13만회 - 2,000만원/월"
637,신촌 현대백화점 유플렉스 전광판,인앤아웃컴퍼니,37.5569232,126.9367324,서울특별시 서대문구 창천동  30-1,서울특별시 서대문구 연세로  13 현대백화점 유플렉스,13.0 x 17.0m,.,06:00 - 24:00,현대백화점,대학가,,,,,1280 x 1680,1일 20초 100회 - 800만원/월패키지(전광판+지하통로) - 950만원/월*기재된 내용 외의 기간 및 비용 협의 가능
