,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
313,명동 메가비전,인앤아웃컴퍼니,37.5638454,126.9823972,서울특별시 중구 남대문로2가 14-6,서울 중구 남대문로 74 (남대문로2가),2.2m x 9.0m,.,06:00 - 24:00,스타광고,명동거리,,,,"37.5635494,126.9823169,-11.951333639937067,15.537629422404976,100",560 x 2240,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
314,도산대로 SB타워 전광판,인앤아웃컴퍼니,37.5220259,127.0363329,서울특별시 강남구 논현동  92,서울특별시 강남구 도산대로  318 SB타워,10.0 x 22.1m,.,06:00 - 24:00,명품,수입차,도산공원,,,"37.5221419,127.0354351,-275.3763882054858,18.85362408924993,100",960 x 2170,"1일 20초 150회 - 1,500만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
315,도산대로 썬앤빌&학빌딩 전광판,인앤아웃컴퍼니,37.5211094,127.0314077,서울특별시 강남구 신사동 588-16 현대썬앤빌,"서울 강남구 도산대로 225 (신사동, 현대썬앤빌)",썬앤빌 12.4 x 17.9m / 학빌딩 16.5 x 9.0m,"학동사거리, 영동대교 방향 노출. 벤틀리, 롤스로이스, 마세라티 등 명품 자동차 브랜드 및 패션 브랜드 매장에 특화된 상권으로 상위 클래스 고객과 고소득 세대 다수 분포",06:00 - 24:00,명품브랜드,수입차,도산공원,,,"37.5212169,127.0331343,-120.35461282302623,7.198878127838616,100",썬앤빌 1216 x 1760 / 학빌딩 1280 x 768,"1일 20초 150회 - 2,000만원/월1일 30초 100회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
316,도산대로 한섬빌딩,인앤아웃컴퍼니,37.52498,127.0507225,서울특별시 강남구 청담동 125-23 한섬빌딩,서울 강남구 도산대로 523 (청담동),11.5m x 19.5m,*한섬 경쟁 브랜드 불가*,06:00 - 24:00,명품거리,고급주거,,,,"37.5243393,127.0492985,32.42496498911612,4.516823617890364,100",1056 x 1824,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
317,홍대 H1(CGV) 전광판,인앤아웃컴퍼니,37.5565056,126.9226503,서울 마포구 동교동 159-8,서울 마포구 양화로 153 (동교동),11.8 x 19m,"경의선숲길(연트럴파크) 중심으로 MZ세대 핫플레이스 밀집, 대학상권으로 문화예술거리를 중심으로 젊은층 패션/뷰티 편집숍과 문화시설 분포. (홍대 H2(영풍문고) 전광판과 번들 판매)",06:00 - 24:00,2030,글로벌,홍대거리,CGV,,"37.5559995,126.9227685,-27.652080741175936,32.312661266444564,100",1160 x 1880,"1일 20초 150회 - 1,500만원/월1일 30초 100회 - 1,500만원/월H더블비전 PKG.- 2,200만원(20초100회)- 2,500만원(30초100회)*기재된 내용 외의 기간 및 비용 협의 가능"
319,강남대로 HM타워,인앤아웃컴퍼니,37.506197,127.024134,서울 강남구 논현동 165-8,서울 강남구 강남대로 492 (논현동),11.4 x 19.2m,"강남대로, 교보타워, 신논현역, 논현역, 교보타워사거리, 7호선, 환승역, 신분당선 ",06:00 - 24:00,교보타워,신논현역,,,,"37.5073236,127.0229854,119.99232736572878,8.38874680306909,100",1104 x 1880,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
320,강남대로 논현빌딩,인앤아웃컴퍼니,37.5115723,127.0215738,서울 강남구 논현동 50-1,서울 강남구 강남대로 556 (논현동),13.2 x 14.8m,. ,07:00 - 23:00,논현역,신분당선,논현로,,,"37.510884,127.0207677,398.25319693094804,6.700767263427192,100",1280 x 1440,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
321,강남대로 뱅뱅빌딩,인앤아웃컴퍼니,37.4893844,127.0322141,서울 강남구 도곡동 943,서울 강남구 강남대로 292 (도곡동),28.6m x 8.6m,.,06:00 - 24:00,뱅뱅사거리,도곡로,,,,"37.4903505,127.0311594,477.43478260869705,5.063938618925802,100",1920 x 576,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
323,도산대로 PEYTO 페이토,인앤아웃컴퍼니,37.5173572,127.0234091,서울 강남구 논현동 5-1,서울 강남구 도산대로 134 (논현동),13.1m x 14.0m,#신사 #강남 #도산대로 #가로수길 #애플전광판 #쇼핑 #관광 ,06:00 - 24:00,2030,신사가로수길,,,,"37.5176784,127.0229973,474.5845337676563,15.377823014180189,90",1296 x 1376,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
324,도산대로 학일빌딩,인앤아웃컴퍼니,37.5226391,127.038924,서울 강남구 논현동 94-2,서울 강남구 도산대로 336 (논현동),17.2m x 8.6m,.,06:00 - 24:00,학동사거리,교차로,명품,수입차,,"37.5238982,127.0393707,-908.896946424976,5.232903991829904,100",2240 x 1088,1일 20초 100회 - 600만원/월1일 30초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
